date,n,crop,select
1961,2738,0,0
1962,3031,0,0
1962,3370,0,0
1964,3929,0,0
1965,4353,0,0
1966,4639,0,0
1967,5326,0,1
1968,6027,0,0
1969,6788,0,0
1970,6958,0,0
1971,7459,0,0
1972,8134,0,0
1973,8022,0,0
1974,8295,0,0
1975,9157,0,0
1976,8601,0,0
1977,10412,,0
1978,10647,,0
1979,9965,,0
1980,10715,96,0
1981,11407,107,0
1982,11924,110,0
1983,10983,102,0
1984,9127,107,0
1985,11092,115,0
1986,11493,122,0
1987,10424,122,0
1988,10210,65,0
1989,10512,115,0
1990,10593,125,0
1991,11076,125,0
1992,11287,122,0
1993,11446,85,0
1994,11393,140,0
1995,12643,130,0
1996,11719,115,0
1997,12303,130,0
1998,12352,141,0
1999,12313,142,0
2000,12452,156,1
2001,12334,128,0
2002,11535,145,0
2003,12009,151,0
2004,12092,147,0
2005,13028,157,0
2006,12337,164,0
2007,12044,158,0
2008,13194,163,0
2009,12561,167,0
2010,11461,177,0
2011,12285,165,1
